Date,Close
21/02/2019,160.04
22/02/2019,161.89
25/02/2019,164.62
26/02/2019,164.13
27/02/2019,162.81
28/02/2019,161.45
1/3/19,162.28
4/3/19,167.37
5/3/19,171.26
6/3/19,172.51
7/3/19,169.13
8/3/19,169.6
11/3/19,172.07
12/3/19,171.92
13/03/2019,173.37
14/03/2019,170.17
15/03/2019,165.98
18/03/2019,160.47
19/03/2019,161.57
20/03/2019,165.44
21/03/2019,166.08
22/03/2019,164.34
25/03/2019,166.29
26/03/2019,167.68
27/03/2019,165.87
28/03/2019,165.55
29/03/2019,166.69
1/4/19,168.7
2/4/19,174.2
3/4/19,173.54
4/4/19,176.02
5/4/19,175.72
8/4/19,174.93
9/4/19,177.58
10/4/19,177.82
11/4/19,177.51
12/4/19,179.1
15/04/2019,179.65
16/04/2019,178.87
17/04/2019,178.78
18/04/2019,178.28
22/04/2019,181.44
